rank,model,threshold,precision,recall,f1,tn,fp,fn,tp,fpr,macro_f1_03_04,total_true_events,missed_events,event_recall,mean_detection_delay_rows,max_detection_delay_rows,normal_false_positive_rows,normal_false_alarm_events,normal_file_fpr,training_seconds,inference_ms_per_1000_rows,parameter_count,model_size_kb
1,RobustZ,8.43113449345744,0.9898305084745763,1.0,0.9948892674616695,4931,3,0,292,0.0006080259424402108,0.9972677595628415,20,0,1.0,0.0,0,0,0,0.0,0.015448400052264333,0.1602946758167615,78,2.703125
2,LightGBM,8.43113449345744,0.9898305084745763,1.0,0.9948892674616695,4931,3,0,292,0.0006080259424402108,0.9972677595628415,20,0,1.0,0.0,0,0,0,0.0,0.6224691000534222,7.132701877821088,1000,181.697265625
3,Cycle_AE,2.930222988128662,0.6327543424317618,0.8732876712328768,0.7338129496402878,4786,148,37,255,0.029995946493717066,0.5596427382141668,20,0,1.0,0.0,0,0,0,0.0,3.7108980000484735,0.5867011220309523,1967,10.9501953125
4,EWMA_CUSUM,34.80604721571832,0.5096322241681261,0.9965753424657534,0.6743916570104287,4654,280,1,291,0.05674908796108634,0.5694529391777099,20,0,1.0,0.05,1,48,18,0.012558869701726845,0.04617530002724379,1.2767700057147426,81,2.73046875
5,NHiTS_Z4,4.0,0.6674418604651163,0.9828767123287672,0.7950138504155124,4791,143,5,287,0.02898256992298338,0.6246766281683371,20,1,0.95,0.0,0,38,38,0.009942438513867086,21.205428199958988,1.3739571295724236,19982,84.2314453125
