fold,테스트 파일,행 수,실제 이상,Accuracy,Precision,Recall,F1-score
1,Test05_NG_chg,5016,4259,0.2293,1.0,0.0923,0.169
2,Test09_NG_dchg,4864,4864,0.9984,1.0,0.9984,0.9992
3,Test07_NG_dchg,4594,227,0.4462,0.0819,1.0,0.1514
4,"Test06_NG_chg, Test08_NG_chg",3250,3250,0.8458,1.0,0.8458,0.9165
5,"Test03_OK_chg, Test04_OK_dchg",2926,0,0.2614,0.0,0.0,0.0
