모델,구분,Accuracy,Precision,Recall,F1-score,TP,FP,FN,TN
LSTM Autoencoder,학습,0.89,0.9603,0.2041,0.3366,1862,77,7261,57485
LSTM Autoencoder,테스트,0.7668,0.9898,0.2804,0.437,975,10,2502,7283
