모델,구분,Accuracy,Precision,Recall,F1-score,TP,FP,FN,TN
Decision Tree,학습,0.9901,0.9996,0.9278,0.9624,8464,3,659,57559
Decision Tree,테스트,0.9209,0.9996,0.7552,0.8604,2626,1,851,7292
Decision Tree,테스트(Test07 제외),0.862,0.9996,0.7382,0.8492,2399,1,851,2925
