모델,구분,Accuracy,Precision,Recall,F1-score,TP,FP,FN,TN
3σ 규칙,학습,0.9468,0.941,0.6518,0.7701,5946,373,3177,57189
3σ 규칙,테스트,0.9977,0.9937,0.9991,0.9964,3474,22,3,7271
3σ 규칙,테스트(Test07 제외),0.996,0.9933,0.9991,0.9962,3247,22,3,2904
