모델,구분,Accuracy,Precision,Recall,F1-score,TP,FP,FN,TN
T²+SPE 결합지표,학습,0.9386,0.9851,0.5598,0.7139,5107,77,4016,57485
T²+SPE 결합지표,테스트,0.9915,0.9971,0.9764,0.9866,3395,10,82,7283
