fold,테스트 파일,행 수,실제 이상,Accuracy,Precision,Recall,F1-score
1,Test05_NG_chg,5016,4259,0.7472,0.9761,0.7199,0.8286
2,Test09_NG_dchg,4864,4864,0.6834,1.0,0.6834,0.8119
3,Test07_NG_dchg,4594,227,0.9717,0.7343,0.6696,0.7005
4,"Test06_NG_chg, Test08_NG_chg",3250,3250,1.0,1.0,1.0,1.0
5,"Test03_OK_chg, Test04_OK_dchg",2926,0,0.9279,0.0,0.0,0.0
