분위수,연속 k,Precision,Recall,F1-score
0.99,1,0.8464,0.7004,0.7665
0.99,10,0.9824,0.662,0.791
0.99,30,0.9908,0.6353,0.7742
0.99,60,0.996,0.6315,0.7729
0.999,1,0.9517,0.2767,0.4287
0.999,10,0.9963,0.2634,0.4166
0.999,30,1.0,0.2611,0.4141
0.999,60,1.0,0.2564,0.4081
0.9999,1,0.2667,0.0004,0.0009
0.9999,10,0.0,0.0,0.0
0.9999,30,0.0,0.0,0.0
0.9999,60,0.0,0.0,0.0
