모델,구분,Accuracy,Precision,Recall,F1-score,TP,FP,FN,TN
Random Forest,학습,1.0,0.9999,1.0,0.9999,9123,1,0,57561
Random Forest,테스트,0.9206,0.9996,0.7544,0.8599,2623,1,854,7292
