모델,구분,Accuracy,Precision,Recall,F1-score,TP,FP,FN,TN
Isolation Forest,학습,0.8927,0.9735,0.2219,0.3614,2024,55,7099,57507
Isolation Forest,테스트,0.8393,0.9943,0.505,0.6698,1756,10,1721,7283
