fold,테스트 파일,행 수,실제 이상,Accuracy,Precision,Recall,F1-score
1,Test05_NG_chg,5016,4259,0.6318,0.9778,0.5795,0.7277
2,Test09_NG_dchg,4864,4864,0.6104,1.0,0.6104,0.7581
3,Test07_NG_dchg,4594,227,0.9852,1.0,0.7004,0.8238
4,"Test06_NG_chg, Test08_NG_chg",3250,3250,1.0,1.0,1.0,1.0
5,"Test03_OK_chg, Test04_OK_dchg",2926,0,0.9692,0.0,0.0,0.0
