결합 방식,Precision,Recall,F1-score,예측 이상
OR 결합 (T² 또는 SPE),0.9971,0.9764,0.9866,3405
결합 지표 φ = T²/UCL + SPE/UCL,0.9971,0.9764,0.9866,3405
