fold,테스트 파일,행 수,실제 이상,Accuracy,Precision,Recall,F1-score
1,Test05_NG_chg,5016,4259,0.2476,0.9217,0.1244,0.2193
2,Test09_NG_dchg,4864,4864,0.5195,1.0,0.5195,0.6838
3,Test07_NG_dchg,4594,227,0.9691,0.8761,0.4361,0.5824
4,"Test06_NG_chg, Test08_NG_chg",3250,3250,0.7391,1.0,0.7391,0.85
5,"Test03_OK_chg, Test04_OK_dchg",2926,0,0.9586,0.0,0.0,0.0
