모델,구분,Accuracy,Precision,Recall,F1-score,TP,FP,FN,TN
PCA 이상탐지,학습,0.9521,0.9824,0.662,0.791,6039,108,3084,57454
PCA 이상탐지,테스트,0.9915,0.9971,0.9764,0.9866,3395,10,82,7283
PCA 이상탐지,테스트(Test07 제외),0.9984,0.9969,1.0,0.9985,3250,10,0,2916
