모델,파일,행 수,실제 이상,예측 이상,TP,FP,FN,TN,Accuracy
Decision Tree,Test03_OK_chg,1421,0,1,0,1,0,1420,0.9993
Decision Tree,Test04_OK_dchg,1505,0,0,0,0,0,1505,1.0
Decision Tree,Test06_NG_chg,854,854,3,3,0,851,0,0.0035
Decision Tree,Test07_NG_dchg,4594,227,227,227,0,0,4367,1.0
Decision Tree,Test08_NG_chg,2396,2396,2396,2396,0,0,0,1.0
