Model,Eligible_For_Overall_Ranking,Eligible_For_ML_Ranking,N,Parts,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
3-day Moving Average,True,False,1614,113,37.24204881038734,80.7889590897527,37.54538950377596,-7.7100371221516655,0.7403094569427178
XGBoost,True,True,1614,113,49.9883076821972,100.15946471945837,50.39546809356029,-37.92318236867781,0.6008500316594068
D+3 Plan Reference,False,False,1614,113,53.28872366790582,126.13532003014781,53.72276634019588,-48.13011152416357,0.36696818666453235
LSTM,True,True,1614,113,60.5893867458531,122.27957666749283,61.082894143393275,-45.034050654398676,0.4050780915341671
CatBoost,True,True,1614,113,63.137579205215296,135.15862790430495,63.651841918110065,-55.566817583892686,0.27315859709806944
LightGBM,True,True,1614,113,69.94226547209442,148.52089026459345,70.51195312310139,-62.83316230384116,0.12233819836354298
