Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WAPE_pct_mean,WAPE_pct_std,Forecast_Bias_mean,Forecast_Bias_std,R2_mean,R2_std
XGBoost,32.244125017297584,3.943864772911978,60.377165605047686,7.824813765064475,32.75853463843962,7.033259484085863,2.4970126451434873,20.026216397649517,0.845759112901598,0.028896187424383792
LightGBM,32.42507504148819,7.218066211359465,65.20329989034656,15.99790631506654,32.70215359182426,7.770623221209666,-1.0728059283071074,25.522079368791893,0.8205893295415537,0.058406295406509455
D+3 Plan Baseline,35.20384186746934,13.484581522854132,86.01096517030527,28.139507685220572,34.52428471577255,9.180298122574705,-25.613985151347094,16.720220365917694,0.6812814528993383,0.16522565054213967
3-day Moving Average,38.73553554918603,4.313528878624115,77.86261459160983,13.790983710387277,39.25845879404195,7.391075468603472,2.0297503826898655,22.504875423761753,0.7413872215482739,0.07885496827051466
LSTM,40.45511983704196,6.077116907420825,79.61909755248278,12.637497557771598,41.141160232405,9.880737881730024,-10.047320123307875,17.780974941093532,0.7328253798257963,0.05426488405150894
