Model,N,Parts,MAE,RMSE,WAPE_pct,Forecast_Bias,R2,MAE_Rank,Eligible_For_Ranking,Eligible_MAE_Rank
3-day Moving Average,3808,116,39.50752803075182,87.64051989425742,41.6529618371429,0.045693405935180786,0.6888473533500477,1,True,1.0
XGBoost,3808,116,42.06996344886909,88.43210947133589,44.35454885108877,-12.10564591670549,0.6832011628623144,2,True,2.0
D+3 Plan Reference,3808,116,46.38392857142857,117.19947039703096,48.90278139241278,-38.71008403361345,0.44356440044818046,3,False,
CatBoost,3808,116,51.85893887375839,112.25112410660635,54.675109010668166,-22.379568334640865,0.4895596395397279,4,True,3.0
LightGBM,3808,116,53.91486680058567,118.23079989896945,56.84268293251405,-24.050850567178614,0.4337282910235226,5,True,4.0
LSTM,3808,116,75.04509963757043,169.4856719911217,79.12038102802109,-24.54055094631507,-0.1636693306258714,6,True,5.0
