파일,충방전,판정,구분,원본 행,원본 열,사용 열(셀전압+온도),결측치,중복 행,전압 범위이탈,온도 범위이탈,센서고장 셀(열 전체 이탈),최종 행,이상 시점 수,이상 비율(%)
Test01_OK_chg,충전,OK,train,1723,231,208,0,0,0,0,0,1723,0,0.0
Test02_OK_dchg,방전,OK,train,1019,231,208,0,0,0,0,0,1019,0,0.0
Test03_OK_chg,충전,OK,test,1421,231,208,0,0,0,0,0,1421,0,0.0
Test04_OK_dchg,방전,OK,test,1505,231,208,0,0,0,0,0,1505,0,0.0
Test05_NG_chg,충전,NG,train,5016,231,208,0,0,0,0,0,5016,4259,84.9
Test06_NG_chg,충전,NG,test,854,231,208,0,0,854,0,1,854,854,100.0
Test07_NG_dchg,방전,NG,test,4594,231,208,0,0,0,0,0,4594,227,4.9
Test08_NG_chg,충전,NG,test,2396,231,208,0,0,0,0,0,2396,2396,100.0
Test09_NG_dchg,방전,NG,train,4864,231,208,0,0,0,0,0,4864,4864,100.0
