Model,Eligible_For_Overall_Ranking,Eligible_For_ML_Ranking,N,Parts,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
3-day Moving Average,True,False,1614,113,36.952292504049886,80.53889982012593,37.22072449483044,-7.502891306558801,0.741768876992728
XGBoost,True,True,1614,113,48.38957765429307,97.11151362578332,48.741093346082664,-35.44510294902779,0.6245616392214082
D+3 Plan Reference,False,False,1614,113,52.294919454770756,124.83197629146433,52.6748046631219,-46.910780669144984,0.37963271007251354
CatBoost,True,True,1614,113,58.78699661640867,128.4435711822565,59.21404212466837,-49.8710365774538,0.34321694059449315
LSTM,True,True,1614,113,59.57711351395595,118.92101646176505,60.009898656684456,-44.43129262561729,0.4369921844498038
LightGBM,True,True,1614,113,69.41235260343846,147.6734223226928,69.91658372772017,-62.26345393459955,0.1318357904009585
