Scenario,Model,N,MAE,RMSE,WAPE_pct,Forecast_Bias,R2,MAE_Rank
Part 94 only,LightGBM,9,5.230098876083087,5.88041967516279,12.96718729607377,-0.46734600988780056,0.10053751443822279,1
Part 94 only,LSTM,9,5.34725104437934,6.190025928956746,13.25764721746944,1.140459696451823,0.0033300895652851326,2
Part 94 only,XGBoost,9,5.541921827528212,6.290271367070601,13.74030205172284,0.9691492716471354,-0.02921278856212206,3
Part 94 only,CatBoost,9,5.542222219341331,6.218329537450524,13.741046824813216,0.633333349972964,-0.005805202679094901,4
Part 94 only,3-day Moving Average,9,8.11111111111111,9.21016635873751,20.110192837465565,0.03703731960720486,-1.206486934105727,5
Part 94 + Part 95,LightGBM,9,5.407447462341334,6.1901533798834025,13.40689453473058,0.662747301539635,0.0032890468256151495,1
Part 94 + Part 95,CatBoost,9,5.45961353579783,6.1140260846213295,13.536231906936768,0.5642708724383141,0.027653657020606293,2
Part 94 + Part 95,LSTM,9,5.468129052056207,6.311226487634214,13.55734475716415,1.1825870937771268,-0.03608155492468601,3
Part 94 + Part 95,XGBoost,9,5.733361562093099,6.559197467968805,14.214946021718427,1.302426232231988,-0.1190972335672702,4
Part 94 + Part 95,3-day Moving Average,9,8.11111111111111,9.21016635873751,20.110192837465565,0.03703731960720486,-1.206486934105727,5
