Scenario,Guidebook_Scaled_MAE,Our_Scaled_MAE,Guidebook_Inverse_MAE,Our_Inverse_MAE,Inverse_MAE_Difference
Part 94 only,1.2037,1.1810423135757446,5.4498,5.34725104437934,-0.10254895562065958
Part 94 + Part 95,1.0878,1.2077404260635376,4.9255,5.468129052056207,0.5426290520562063
