Model,N,Parts,MAE,RMSE,WAPE_pct,Forecast_Bias,R2,MAE_improvement_vs_D3_plan_pct
3-day Moving Average,4098,117,38.35513258500081,85.40274763886502,40.91986340896172,0.07873759557507647,0.7104002106082584,19.632195662363127
XGBoost,4098,117,44.41597065670412,100.92861062066562,47.385977572126436,-14.992974378970708,0.595532952676175,6.932558992113782
CatBoost,4098,117,45.30726300829569,99.67854347841315,48.336868856461145,-18.27263363559806,0.6054900857610221,5.064980796116201
LightGBM,4098,117,47.15347569261049,108.57125784702814,50.30653408180306,-15.880910495242107,0.5319585741709552,1.196500887987836
