part_number,Model,N,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
Part 0,XGBoost,31,2.329887705464517,3.21379291660826,361.1325943470001,1.8761286966262325,-3.2635974137966564
Part 0,3-day Moving Average,31,0.795698924731183,1.7515993715524505,123.33333333333336,-0.10752688172043008,-0.26651393661702993
Part 0,LightGBM,31,1.6978523214279961,2.7368251696480304,263.1671098213394,1.6758022563413615,-2.0919646653176263
Part 0,CatBoost,31,2.2827688045181085,3.8450125362510468,353.8291647003068,2.2827688045181085,-5.102895476449541
Part 1,XGBoost,31,2.8398028266045356,3.8120572565688393,139.73632956308032,1.3558560263726018,-0.07522644647306276
Part 1,3-day Moving Average,31,2.5806451612903225,4.402671069339937,126.98412698412697,-0.4731182795698925,-0.43421277760667976
Part 1,LightGBM,31,2.2521288835472277,3.649490193223265,110.81904030153025,1.1626531824868098,0.014525230806443967
Part 1,CatBoost,31,2.430009727364291,3.9771208277184114,119.57190721951274,1.289989923393804,-0.1703578661240368
Part 10,XGBoost,37,46.92456044377507,55.28088507367994,45.21376917759577,-10.387343226252375,0.02679492538396322
Part 10,3-day Moving Average,37,69.64864864864863,82.12586473004505,67.109375,1.9009009009009004,-1.1479011982673688
Part 10,LightGBM,37,46.56338206323931,58.692151722428974,44.865758758850376,-5.185339447553875,-0.09701976553648106
Part 10,CatBoost,37,48.69916522675097,57.299411889831546,46.92367482785901,-10.217283719893738,-0.04557386318710366
Part 100,XGBoost,37,8.387132841187555,12.264715354289674,79.9803904958607,-1.8592648087321102,0.10509048078294836
Part 100,3-day Moving Average,37,11.891891891891893,15.234503276775719,113.40206185567013,0.4504504504504508,-0.38076820562740443
Part 100,LightGBM,37,8.545568198810859,11.791782943802557,81.49124313299015,-1.3510974865120713,0.17277598518787507
Part 100,CatBoost,37,9.11532004673408,12.68887660918115,86.92444374462912,2.067459938890254,0.04212127065715576
Part 101,XGBoost,20,43.46261627674103,55.15441455947149,82.47175764087483,4.082418894767761,-0.734811575296429
Part 101,3-day Moving Average,20,53.133333333333326,62.93594627344006,100.82226438962681,9.4,-1.2588598487224676
Part 101,LightGBM,20,53.406121365460365,61.669580876153496,101.33988873901399,-1.3687550741769379,-1.1688711244534886
Part 101,CatBoost,20,54.94927215536293,64.2094098713938,104.26806860600175,-0.3471329414522046,-1.351197493046885
Part 102,XGBoost,37,14.44642034092465,22.227455881044257,63.33146357988294,-6.588416827691568,0.3368968560142709
Part 102,3-day Moving Average,37,24.234234234234233,33.673043727496236,106.24012638230647,-4.8828828828828845,-0.5218306333439215
Part 102,LightGBM,37,14.373671754530985,22.77257243651845,63.01254205185385,-9.649940017011925,0.30397352774067465
Part 102,CatBoost,37,16.117875626119233,25.165361181957742,70.65893343203929,-11.022524684364448,0.15002156140586698
Part 103,XGBoost,37,54.966402743313765,74.77944234159024,50.65397014950459,-27.713210872701698,0.09829516836530006
Part 103,3-day Moving Average,37,55.774774774774784,82.83126232297813,51.39892071398921,-17.81081081081081,-0.10633973928448603
Part 103,LightGBM,37,60.88610054210187,79.78965973340426,56.109233376283164,-29.76089911204898,-0.026580897095809464
Part 103,CatBoost,37,56.79441287893752,75.98383223304589,52.3385623043758,-38.44999297458428,0.06901573848391507
Part 104,XGBoost,37,47.68454754674757,59.81580497436678,53.95499263699266,-5.449965083921278,0.21523914612730988
Part 104,3-day Moving Average,37,69.75675675675676,83.63647565542237,78.92966360856269,10.711711711711711,-0.5342526266731966
Part 104,LightGBM,37,52.627324686568755,66.69023510227993,59.54773741293713,-2.2623344259886964,0.02449404562615831
Part 104,CatBoost,37,53.27261938343872,70.41251386241474,60.27788737575636,-14.134993397066259,-0.08743955768500888
Part 105,XGBoost,37,7.231107474984349,11.388699432620102,96.58880020737217,1.945272170208596,0.13081323264725642
Part 105,3-day Moving Average,37,10.666666666666668,16.018382833126086,142.4789410348977,-0.03603603603603605,-0.7195000038072981
Part 105,LightGBM,37,5.44030621720766,10.071298978547038,72.66835019374854,-0.290335217868875,0.3202709661708494
Part 105,CatBoost,37,6.534264620754405,11.874409334802916,87.28079096314548,-2.6992013643108916,0.055093416278783836
Part 106,XGBoost,37,187.54131706340894,272.9211424218891,38.045006477033446,-80.24453938973916,-2.601929762775397
Part 106,3-day Moving Average,37,107.58558558558558,159.68822852774818,21.825026956887257,8.720720720720719,-0.23312381463902643
Part 106,LightGBM,37,192.20415418941437,286.2774505750572,38.99091893748742,-88.7262972271783,-2.963101184920774
Part 106,CatBoost,37,203.35819091347165,271.8363560584057,41.25364912439526,-93.1454936802613,-2.573353310358395
Part 107,XGBoost,37,85.57816370234296,114.50716163005946,44.359653362099884,-42.82515689609824,-0.3834311974754008
Part 107,3-day Moving Average,37,75.69369369369369,97.97719903901894,39.236013822732794,5.711711711711712,-0.012843406745148167
Part 107,LightGBM,37,93.84987397878675,121.23124139843259,48.647314895140234,-42.65775555539543,-0.5506770897570452
Part 107,CatBoost,37,81.9016780982191,109.06288723694186,42.45393793267171,-37.7465036444862,-0.2550072860165129
Part 108,XGBoost,37,7.9681365953103915,17.484126554684206,152.75702281165,5.504101979974154,-9.831202930004459
Part 108,3-day Moving Average,37,4.495495495495495,7.22379285300895,86.18307426597582,0.08108108108108113,-0.8489253527040168
Part 108,LightGBM,37,6.7383508509409245,13.907401651739745,129.18081942218353,5.104067462402932,-5.853001152806864
Part 108,CatBoost,37,5.387074938782175,9.192817339990222,103.27552991447692,4.063298255140736,-1.9942363035083526
Part 109,XGBoost,3,0.5325599114100138,0.5361242618040396,53.25599114100138,0.5325599114100138,
Part 109,3-day Moving Average,3,0.0,0.0,0.0,0.0,
Part 109,LightGBM,3,0.010695546072230408,0.011918351877719125,1.0695546072230409,-0.008105410058610096,
Part 109,CatBoost,3,0.203603764746885,0.3292049057835281,20.3603764746885,0.203603764746885,
Part 11,XGBoost,37,3.195767670064359,3.851544804409678,197.0723396539688,1.3521877366143304,-0.9693842138996926
Part 11,3-day Moving Average,37,2.333333333333333,3.534896815395818,143.88888888888889,-0.24324324324324326,-0.6588763899663819
Part 11,LightGBM,37,3.5166024548817156,4.395604062978234,216.85715138437246,1.8206180109879304,-1.5650608730048936
Part 11,CatBoost,37,3.12830944565903,3.852776960870847,192.91241581564017,1.6783251018741072,-0.970644475823055
Part 110,XGBoost,27,2.189351956049601,2.7679488535579972,101.91810829886074,0.5584202828230681,-0.1278803077464865
Part 110,3-day Moving Average,27,1.7777777777777777,2.585174572831874,82.75862068965517,-0.8395061728395062,0.016155088852988553
Part 110,LightGBM,27,2.404777465006929,3.252976757167277,111.94653716411567,0.977697965321311,-0.557789645308324
Part 110,CatBoost,27,2.872843041228086,3.6147901076357276,133.7357967468247,1.4888239187070933,-0.9235924442100876
Part 111,XGBoost,14,1.0294318539755685,1.3854823837928278,480.4015318552653,0.6443647231374469,-2.2156755676653876
Part 111,3-day Moving Average,14,0.42857142857142855,0.9258200997725514,200.0,0.0,-0.4358974358974359
Part 111,LightGBM,14,2.6630919843329184,3.9176066346937537,1242.7762593553618,2.2355025063381384,-24.710579332158268
Part 111,CatBoost,14,2.7428297927328957,4.112150299428923,1279.9872366086847,2.316452000909455,-27.327494843404292
Part 112,XGBoost,25,0.6356625297665596,0.7300069290946278,794.5781622081995,0.6356625297665596,-2.469466904467245
Part 112,3-day Moving Average,25,0.13333333333333333,0.4422166387140533,166.66666666666666,-0.02666666666666667,-0.2731481481481479
Part 112,LightGBM,25,1.743432209439092,3.033247845967936,2179.290261798865,1.743432209439092,-58.89969072310626
Part 112,CatBoost,25,1.899083418972981,3.434499545232116,2373.854273716226,1.899083418972981,-75.79548910286205
Part 113,XGBoost,32,1.1511068502441049,1.815805702747467,283.3493785216258,0.40110685024410486,-0.5133491521888607
Part 113,3-day Moving Average,32,0.75,1.861525658640723,184.6153846153846,0.0,-0.590517456048608
Part 113,LightGBM,32,1.800806016905424,3.190746086549371,443.2753272382582,0.9893575010908727,-3.6728826727754598
Part 113,CatBoost,32,2.2248494803909984,3.5667319227388132,547.6552567116304,1.5260859754187042,-4.839038299996652
Part 114,XGBoost,30,0.723076672355334,1.151522259917335,197.202728824182,0.31629265447457633,0.30169504764387756
Part 114,3-day Moving Average,30,0.36666666666666664,1.4259499757471625,100.0,-0.36666666666666664,-0.07080163838502007
Part 114,LightGBM,30,1.7546974761942191,3.049383460737749,478.5538571438779,1.2158757433274165,-3.896937122035598
Part 114,CatBoost,30,2.2706797613988012,3.549432896963459,619.2762985633094,1.7196818000781817,-5.6346556471865235
Part 115,XGBoost,9,0.7742654217614068,0.948715141211682,,0.7742654217614068,
Part 115,3-day Moving Average,9,0.0,0.0,,0.0,
Part 115,LightGBM,9,3.2776439211392767,4.375812679048229,,3.2776439211392767,
Part 115,CatBoost,9,4.0413961663629445,5.133673795259902,,4.0413961663629445,
Part 116,XGBoost,21,0.803925382239478,1.1756688826877277,153.47666388208216,0.2749797460578737,-0.5087847001945855
Part 116,3-day Moving Average,21,0.7301587301587302,1.2344267996967353,139.3939393939394,-0.03174603174603171,-0.6633663366336628
Part 116,LightGBM,21,0.6627785235900527,1.1155364368865377,126.53044541264642,0.06140103618775631,-0.358390841662096
Part 116,CatBoost,21,0.7215260822601431,1.1141856972710988,137.7458884314819,-0.0878798864203782,-0.35510323685528844
Part 12,XGBoost,37,11.76549653427021,17.834035540540224,104.39409394916012,-1.0782042806212966,0.00903916922192849
Part 12,3-day Moving Average,37,14.819819819819822,20.898798045814974,131.49480415667466,1.0000000000000004,-0.3608173931602534
Part 12,LightGBM,37,10.951927674218156,17.840663076733694,97.17537744510113,-3.5687462825914054,0.008302504870439598
Part 12,CatBoost,37,9.977807231946535,16.255014918172883,88.5321025376551,-3.188177036362144,0.17674954783188046
Part 13,XGBoost,37,3.1550967677219495,4.076694246262825,149.66484667398993,0.8996471633782258,-1.0256417248232297
Part 13,3-day Moving Average,37,3.072072072072072,4.166576575602608,145.72649572649573,-0.29729729729729737,-1.1159484805318147
Part 13,LightGBM,37,3.4578787684174865,4.380640633112903,164.02758260441922,1.2612653667738525,-1.3389536071955912
Part 13,CatBoost,37,2.8559162684200357,3.808449861765523,135.47295119428372,1.0631302065964003,-0.7678395199944381
Part 14,XGBoost,37,39.02839775182105,48.09732879931594,45.42468439186471,-21.12039443447783,-1.0824409150663894
Part 14,3-day Moving Average,37,32.612612612612615,41.18835369956513,37.957428960889175,-5.099099099099098,-0.5271427692610731
Part 14,LightGBM,37,40.833625849511336,49.91274451451189,47.52576773928655,-25.966881516163085,-1.2426095881943962
Part 14,CatBoost,37,39.396688892958224,47.17295758634123,45.853334037101426,-20.216200708695553,-1.0031662061656434
Part 15,XGBoost,37,10.245526104360014,12.290932352520233,43.373508679784955,-1.2896932363510132,-0.038801059697813445
Part 15,3-day Moving Average,37,10.513513513513512,13.31180694737586,44.50800915331807,-1.9189189189189186,-0.21853146658004863
Part 15,LightGBM,37,11.367899546831246,14.869607213917384,48.12497519825585,-3.9775482700917335,-0.5204135117239572
Part 15,CatBoost,37,10.243178009874107,13.061632416072095,43.363568234020825,-4.858580583731777,-0.17316106827737454
Part 16,XGBoost,37,18.855445114341943,26.743075767163706,34.67452630371033,-10.400509679639661,-1.1999136905362082
