Model,Parts,Per_part_MAE_mean,Per_part_MAE_median,Per_part_RMSE_mean,Per_part_WAPE_pct_mean,Per_part_Forecast_Bias_mean,Per_part_R2_mean
3-day Moving Average,117,36.54090325649466,18.252252252252255,50.86359905508145,72.07132731016621,0.10525268620848098,-0.4545205871404004
XGBoost,117,42.269826758461654,18.590859593571842,56.3596466871057,84.76329713537403,-14.14127856595839,-0.7143521976676049
CatBoost,117,43.19783556314371,19.42622420534224,56.07217943898079,111.4179404145282,-17.224166618237472,-1.669449124999259
LightGBM,117,44.92804580013415,18.97037062729049,60.12919348172445,106.80211228593409,-14.97471953627819,-1.6993796397554624
