feature,importance_gain,importance_split
Speed,37975976039.377,495
Length,3740430054.7906866,52
SetPower,61356541.94579625,185
PreviousPower,30698401.44888878,3970
TimeGap,3644073.3075035214,2627
GateOnTime,2743443.51599741,144
PageNo,1979500.0145628452,1370
PageCos,394938.92358094454,479
PageSin,202555.98120093346,676
