file,cycle_id,start_time,end_time,points,anomaly_points,max_anomaly_score,zero_power_points,true_anomaly_points,anomaly_page_nos,judgement
WeldingTest_02_OK,3,2022-02-11 09:18:24.326,2022-02-11 09:20:34.988,39,0,2.745,0,0,,정상
WeldingTest_02_OK,4,2022-02-11 09:37:11.418,2022-02-11 09:39:22.865,39,0,3.058,0,0,,정상
WeldingTest_02_OK,5,2022-02-11 09:41:50.579,2022-02-11 09:44:01.553,39,0,3.044,0,0,,정상
WeldingTest_02_OK,6,2022-02-11 09:44:48.333,2022-02-11 09:46:59.860,39,0,3.058,0,0,,정상
WeldingTest_02_OK,7,2022-02-11 09:47:59.886,2022-02-11 09:50:11.250,39,0,3.09,0,0,,정상
WeldingTest_02_OK,8,2022-02-11 09:50:58.032,2022-02-11 09:53:09.997,39,0,3.044,0,0,,정상
WeldingTest_02_OK,9,2022-02-11 09:57:42.233,2022-02-11 09:59:53.575,39,0,3.044,0,0,,정상
WeldingTest_02_OK,10,2022-02-11 10:00:40.528,2022-02-11 10:02:51.284,39,0,3.048,0,0,,정상
WeldingTest_02_OK,11,2022-02-11 10:22:00.523,2022-02-11 10:24:12.181,39,0,3.058,0,0,,정상
WeldingTest_02_OK,12,2022-02-11 10:28:46.686,2022-02-11 10:30:57.870,39,0,3.044,0,0,,정상
WeldingTest_02_OK,13,2022-02-11 10:36:39.501,2022-02-11 10:38:50.243,39,0,3.044,0,0,,정상
WeldingTest_02_OK,14,2022-02-11 10:49:17.318,2022-02-11 10:51:28.241,39,0,3.058,0,0,,정상
WeldingTest_02_OK,15,2022-02-11 10:53:15.699,2022-02-11 10:55:27.349,39,0,3.058,0,0,,정상
WeldingTest_02_OK,16,2022-02-11 11:01:37.776,2022-02-11 11:03:49.353,39,0,3.048,0,0,,정상
WeldingTest_02_OK,17,2022-02-11 11:04:35.307,2022-02-11 11:06:46.341,39,1,8.63,0,0,19,재검사 권고
WeldingTest_02_OK,18,2022-02-11 11:07:56.871,2022-02-11 11:10:08.045,39,0,3.058,0,0,,정상
WeldingTest_02_OK,19,2022-02-11 11:16:27.374,2022-02-11 11:18:38.737,39,0,3.044,0,0,,정상
WeldingTest_02_OK,20,2022-02-11 11:19:26.479,2022-02-11 11:21:38.333,39,0,3.058,0,0,,정상
WeldingTest_02_OK,21,2022-02-11 11:22:24.969,2022-02-11 11:24:36.525,39,0,3.058,0,0,,정상
WeldingTest_02_OK,22,2022-02-11 11:46:42.175,2022-02-11 11:48:53.927,39,0,3.044,0,0,,정상
WeldingTest_02_OK,23,2022-02-11 11:49:40.591,2022-02-11 11:51:51.957,39,0,3.044,0,0,,정상
WeldingTest_02_OK,24,2022-02-11 11:52:39.465,2022-02-11 11:54:52.332,39,0,3.058,0,0,,정상
