Model,Spike_Rows,Spike_Parts,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
CatBoost,127,105,30.30102364849797,65.24744005758785,22.296946540119603,-24.328539547929076,0.871513574068525
LightGBM,127,105,30.3925239914061,64.83282208182048,22.364276881097254,-16.787377012432717,0.8731413320178789
XGBoost,127,105,30.87708187094488,70.09595093654674,22.720837809896285,-21.259932378031486,0.8517085341394333
D+3 Plan Reference,127,105,35.38582677165354,67.64997919467064,26.038588562489135,-32.8503937007874,0.8618771187305558
3-day Moving Average,127,105,45.70603641022847,91.9828710627193,33.63269380670385,-40.50393703439104,0.74464508780617
LSTM,127,105,96.73104618388189,180.9365258409743,71.17934333016397,-92.77395255081102,0.011941203720266524
