part_number,date,previous_actual,actual_d,absolute_change,part_change_threshold
Part 92,2021-09-16,0.0,608,608.0,128.0
Part 92,2021-10-02,666.0,0,666.0,128.0
Part 92,2021-10-04,0.0,668,668.0,128.0
Part 92,2021-11-01,630.0,124,506.0,128.0
Part 93,2021-09-29,0.0,2,2.0,1.0
Part 93,2021-09-30,2.0,0,2.0,1.0
Part 93,2021-10-13,2.0,4,2.0,1.0
Part 93,2021-10-14,4.0,1,3.0,1.0
Part 93,2021-10-28,0.0,6,6.0,1.0
Part 94,2021-11-01,45.0,28,17.0,16.0
Part 95,2021-10-28,99.0,276,177.0,165.0
Part 96,2021-09-29,0.0,2,2.0,1.0
Part 96,2021-09-30,2.0,0,2.0,1.0
Part 96,2021-10-13,2.0,4,2.0,1.0
Part 96,2021-10-14,4.0,1,3.0,1.0
Part 96,2021-10-28,0.0,6,6.0,1.0
Part 97,2021-09-14,127.0,32,95.0,58.0
Part 97,2021-09-30,23.0,107,84.0,58.0
Part 97,2021-10-02,105.0,0,105.0,58.0
Part 97,2021-10-04,0.0,100,100.0,58.0
Part 97,2021-10-25,107.0,37,70.0,58.0
Part 99,2021-09-15,150.0,48,102.0,36.0
Part 99,2021-09-30,57.0,11,46.0,36.0
Part 99,2021-11-01,49.0,11,38.0,36.0
