document_id,Model,Parts,Per_Part_MAE_Mean,Per_Part_MAE_Median,Per_Part_RMSE_Mean,Per_Part_WAPE_Mean,Per_Part_Bias_Mean,Per_Part_R2_Mean
catboost,CatBoost,111,24.909079768549507,13.448226466418463,30.746517401676325,91.21984650758874,8.471612800462065,-3.9642165020573645
xgboost,XGBoost,111,26.574329917400256,13.332141428571429,31.748498101425348,117.03650430516198,8.419996227284429,-4.78899846662448
lightgbm,LightGBM,111,27.220858752164418,12.367295815269085,33.241530095381485,94.68057039944705,13.633686749093206,-5.792208878517627
d_3_plan_reference,D+3 Plan Reference,111,29.96889746889747,13.571428571428571,38.870646170843735,53.225796525872,-16.47168597168597,-10.270973142813375
3_day_moving_average,3-day Moving Average,111,31.342413819076576,16.99999782017299,38.52251477647518,132.28075767801712,4.866938468137558,-7.773766037143432
lstm,LSTM,111,60.49468254324882,28.260664157142855,72.26312729495449,147.48017987657448,-47.79914258855984,-46.20173835525154
