document_id,Model,Eligible_For_Overall_Ranking,Eligible_For_ML_Ranking,N,Parts,MAE,RMSE,WAPE_pct,Forecast_Bias,R2,Eligible_For_Ranking,MAE_Improvement_vs_D3_Plan_pct
catboost,CatBoost,True,True,764,111,25.31487945672889,55.303268262244615,25.89098782455271,8.615299730276417,0.8509459376274014,True,16.8576738675055
xgboost,XGBoost,True,True,764,111,27.004705395881107,62.21654027838148,27.61927031118228,8.56395964897896,0.8113512480572125,True,11.307733976213715
lightgbm,LightGBM,True,True,764,111,27.660901077643924,60.41832631553457,28.290399495742918,13.861758942942137,0.8220985029777068,True,9.152573195254243
d_3_plan_reference,D+3 Plan Reference,False,False,764,111,30.44764397905759,65.59370420561422,31.140562248995984,-16.74869109947644,0.790315399812493,False,0.0
3_day_moving_average,3-day Moving Average,True,False,764,111,31.864746922441803,66.81441537025734,32.58991519243043,4.959860486587929,0.7824382381915238,True,-4.654228564807573
lstm,LSTM,True,True,764,111,61.49881240947011,119.75121768001536,62.89838377621842,-48.61044170087354,0.3011208275012117,True,-101.98217127003338
