document_id,part_number,Model,N,Actual_Total,Actual_Mean,Zero_Actual_Count,Over_Prediction_Count,Exact_Count,Under_Prediction_Count,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
part_104__3_day_moving_average,Part 104,3-day Moving Average,9,350.0,38.888888888888886,0,6,0,3,69.92592525482178,86.10759754095228,179.80952208382743,28.222221480475532,-4.8592779189877415
part_104__d_3_plan_reference,Part 104,D+3 Plan Reference,9,350.0,38.888888888888886,0,4,0,5,24.333333333333332,37.82562329661968,62.57142857142857,-13.222222222222221,-0.13066341463414632
part_105__xgboost,Part 105,XGBoost,9,72.0,8.0,6,5,2,2,10.700208728888889,15.44810875527697,133.7526091111111,-2.042148817777777,-0.2259112882612926
part_105__lightgbm,Part 105,LightGBM,9,72.0,8.0,6,6,1,2,8.047851089888752,14.170541318277346,100.5981386236094,-4.829390488621491,-0.03152863657365801
part_105__catboost,Part 105,CatBoost,9,72.0,8.0,6,7,0,2,12.328020376662758,16.39332640501181,154.10025470828447,-0.6886209481994435,-0.3805196093557741
part_105__lstm,Part 105,LSTM,9,72.0,8.0,6,6,0,3,10.141611766666664,15.426742957089436,126.7701470833333,-4.148058522222223,-0.2225225938224753
part_105__3_day_moving_average,Part 105,3-day Moving Average,9,72.0,8.0,6,6,1,2,17.222222261958652,20.330904549507565,215.27777827448315,6.777777817514208,-1.1233510948691134
part_105__d_3_plan_reference,Part 105,D+3 Plan Reference,9,72.0,8.0,6,2,4,3,8.11111111111111,16.06583676971452,101.38888888888889,-7.666666666666667,-0.3259132420091324
part_106__xgboost,Part 106,XGBoost,9,4285.0,476.1111111111111,0,6,0,3,76.50469111111109,95.55525600717606,16.068663243873974,-0.022873333333336632,-0.6803486199933506
part_106__lightgbm,Part 106,LightGBM,9,4285.0,476.1111111111111,0,3,0,6,105.30682898284648,133.78762426272803,22.118120439804397,-52.19837001311993,-2.2939887874764997
part_106__catboost,Part 106,CatBoost,9,4285.0,476.1111111111111,0,6,0,3,134.8572258380267,147.9763809794158,28.324738215688217,38.68607858340523,-3.029721535563321
part_106__lstm,Part 106,LSTM,9,4285.0,476.1111111111111,0,0,0,9,242.2158233333333,258.0530323045567,50.87380186697782,-242.2158233333333,-11.254854697571032
part_106__3_day_moving_average,Part 106,3-day Moving Average,9,4285.0,476.1111111111111,0,6,0,3,57.296298556857636,81.50112072221097,12.034228401673715,51.888895670572914,-0.22241140853240982
part_106__d_3_plan_reference,Part 106,D+3 Plan Reference,9,4285.0,476.1111111111111,0,1,0,8,231.22222222222223,312.6718194315994,48.56476079346558,-205.0,-16.99151414082664
part_107__xgboost,Part 107,XGBoost,9,2584.0,287.1111111111111,0,0,0,9,168.12474444444445,184.24820872534823,58.55738003095976,-168.12474444444445,-8.254207178910724
part_107__lightgbm,Part 107,LightGBM,9,2584.0,287.1111111111111,0,0,0,9,160.36482157754892,175.92802991024777,55.85462051849615,-160.36482157754892,-7.437285562595273
part_107__catboost,Part 107,CatBoost,9,2584.0,287.1111111111111,0,2,0,7,103.64355510259331,132.94286394760266,36.09876145214163,-77.19480615275478,-3.817954899277276
part_107__lstm,Part 107,LSTM,9,2584.0,287.1111111111111,0,0,0,9,139.48764677777777,150.15565470929386,48.58315870743034,-139.48764677777777,-5.146332536617525
part_107__3_day_moving_average,Part 107,3-day Moving Average,9,2584.0,287.1111111111111,0,2,0,7,87.1111085679796,105.82666750853001,30.340556389776175,-67.0370356241862,-2.052972625256073
part_107__d_3_plan_reference,Part 107,D+3 Plan Reference,9,2584.0,287.1111111111111,0,1,0,8,158.11111111111111,192.21082175569617,55.06965944272446,-155.44444444444446,-9.071365107998414
part_108__xgboost,Part 108,XGBoost,9,95.0,10.555555555555555,0,4,0,5,21.378936366666668,29.686577004455216,202.53729189473682,11.408487633333332,-24.242122062785498
part_108__lightgbm,Part 108,LightGBM,9,95.0,10.555555555555555,0,4,0,5,26.632895196468372,35.50506137340905,252.31163870338457,16.37684101139945,-35.10656295385184
part_108__catboost,Part 108,CatBoost,9,95.0,10.555555555555555,0,4,0,5,10.96116958759691,14.283573786753207,103.84265925091809,3.4128661962092046,-4.84358518028695
part_108__lstm,Part 108,LSTM,9,95.0,10.555555555555555,0,4,0,5,8.057160822222222,9.581163687247871,76.33099726315791,-3.179714511111112,-1.6293120600243336
part_108__3_day_moving_average,Part 108,3-day Moving Average,9,95.0,10.555555555555555,0,6,0,3,10.259259117974175,11.658197896180447,97.19298111765008,-0.9259261025322808,-2.892857083842645
part_108__d_3_plan_reference,Part 108,D+3 Plan Reference,9,95.0,10.555555555555555,0,3,0,6,26.22222222222222,35.99073954968602,248.42105263157896,13.777777777777779,-36.1011315417256
part_11__xgboost,Part 11,XGBoost,9,24.0,2.6666666666666665,1,4,0,5,3.0296489922222225,4.469947921671178,113.61183720833334,0.042369763333333456,-0.21502641758156993
part_11__lightgbm,Part 11,LightGBM,9,24.0,2.6666666666666665,1,6,0,3,4.326417748943514,5.360553506657085,162.24066558538175,2.8088474237118444,-0.7474311154027171
part_11__catboost,Part 11,CatBoost,9,24.0,2.6666666666666665,1,6,0,3,3.341121701167923,4.39386353630339,125.29206379379711,0.9433851779008542,-0.17401574987100532
part_11__lstm,Part 11,LSTM,9,24.0,2.6666666666666665,1,6,0,3,2.9005752666666664,4.389973079958996,108.7715725,0.26195684444444445,-0.1719376539519062
part_11__3_day_moving_average,Part 11,3-day Moving Average,9,24.0,2.6666666666666665,1,4,2,3,3.2962962720129223,5.036900852526201,123.61111020048459,0.40740739636951023,-0.5427927823217067
part_11__d_3_plan_reference,Part 11,D+3 Plan Reference,9,24.0,2.6666666666666665,1,5,1,3,4.111111111111111,5.744562646538029,154.16666666666669,2.111111111111111,-1.0067567567567566
part_110__xgboost,Part 110,XGBoost,3,10.0,3.3333333333333335,1,1,0,2,3.3404609666666665,3.6161263736566625,100.213829,-2.2670307666666667,-1.353746591045951
part_110__lightgbm,Part 110,LightGBM,3,10.0,3.3333333333333335,1,2,0,1,3.7261076435768685,4.522488158861041,111.78322930730604,0.9582709323832773,-2.6815218464668993
part_110__catboost,Part 110,CatBoost,3,10.0,3.3333333333333335,1,1,0,2,2.868436866187769,3.0905451233774754,86.05310598563307,-0.4424072532230265,-0.7192644487338131
part_110__lstm,Part 110,LSTM,3,10.0,3.3333333333333335,1,1,0,2,3.0643438333333335,3.099950083841882,91.930315,-1.3696097666666667,-0.7297442940160324
part_110__3_day_moving_average,Part 110,3-day Moving Average,3,10.0,3.3333333333333335,1,0,1,2,1.5555555025736492,1.9051586239420424,46.66666507720947,-1.5555555025736492,0.3466667111714674
part_110__d_3_plan_reference,Part 110,D+3 Plan Reference,3,10.0,3.3333333333333335,1,1,0,2,5.666666666666667,5.916079783099616,170.0,-0.3333333333333333,-5.3
part_112__xgboost,Part 112,XGBoost,5,0.0,0.0,5,0,5,0,0.0,0.0,,0.0,
part_112__lightgbm,Part 112,LightGBM,5,0.0,0.0,5,5,0,0,0.006150188069368961,0.006259082989267928,,0.006150188069368961,
part_112__catboost,Part 112,CatBoost,5,0.0,0.0,5,3,2,0,0.06203710352684978,0.08269857808967664,,0.06203710352684978,
part_112__lstm,Part 112,LSTM,5,0.0,0.0,5,5,0,0,1.2737754200000002,1.4928158188541902,,1.2737754200000002,
