collection_version,target_date,actual,XGBoost,LightGBM,CatBoost,LSTM,3-day Moving Average,D+3 Plan Reference,document_id,part_count
v1,2021-10-25,10048.0,12674.12845866,13284.982685613675,12214.765263306133,4469.53557295,11852.66667765379,10670.0,2021_10_25,108
v1,2021-10-26,10400.0,13236.366319300001,13327.405772400081,12893.437694562985,10396.7733854,11776.999954909086,10670.0,2021_10_26,108
v1,2021-10-27,10613.0,12644.563747100001,13638.973025427133,13228.458817046985,10847.4390888,11795.0,10678.0,2021_10_27,110
v1,2021-10-28,10943.0,11671.89944379,12150.798530198144,11930.725158262012,8132.4694484,11215.333449929953,8778.0,2021_10_28,110
v1,2021-10-29,10701.0,10698.85749644,11079.15750165432,10796.765099110993,2516.5139655069997,10750.333348602057,8772.0,2021_10_29,110
v1,2021-10-30,10696.0,9086.71798856,9704.39287469179,8964.759733475768,196.141066242,10353.666669487953,3176.0,2021_10_30,109
v1,2021-11-01,11299.0,11230.33171335,12104.673442422647,11253.177228166305,1002.749987425,10745.33331117034,9160.0,2021_11_01,109
