part_number,daily_rows,first_date,last_date,valid_sequence_count,excluded,exclusion_reason,test_rows,test_start,test_end,actual_total,actual_mean,actual_zero_count,recommended_model,recommended_model_test_mae,document_id,has_test_data
Part 28,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,5486.0,609.5555555555555,0.0,3-day Moving Average,26.66665988498264,part_28,True
Part 29,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,3772.0,419.1111111111111,0.0,3-day Moving Average,6.962961832682292,part_29,True
Part 3,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,108.0,12.0,6.0,CatBoost,4.69650947836462,part_3,True
Part 30,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1277.0,141.88888888888889,0.0,3-day Moving Average,64.59259287516277,part_30,True
Part 31,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,196.0,21.77777777777778,0.0,CatBoost,16.995715340531046,part_31,True
Part 32,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1.0,0.1111111111111111,8.0,CatBoost,0.03857505521184142,part_32,True
Part 33,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,396.0,44.0,0.0,CatBoost,39.118191018211945,part_33,True
Part 34,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,579.0,64.33333333333333,0.0,3-day Moving Average,36.92592536078559,part_34,True
Part 35,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,75.0,8.333333333333334,0.0,CatBoost,8.439347433921439,part_35,True
Part 36,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,106.0,11.777777777777779,0.0,CatBoost,8.506010273359358,part_36,True
Part 37,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1274.0,141.55555555555554,0.0,3-day Moving Average,59.85185411241319,part_37,True
Part 38,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,608.0,67.55555555555556,0.0,CatBoost,40.203770012054655,part_38,True
Part 39,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,289.0,32.111111111111114,0.0,CatBoost,8.00566255088386,part_39,True
Part 4,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,2414.0,268.22222222222223,0.0,CatBoost,48.33166952088352,part_4,True
Part 40,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1.0,0.1111111111111111,8.0,CatBoost,0.7697274075781151,part_40,True
Part 41,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,294.0,32.666666666666664,0.0,CatBoost,8.384115115845402,part_41,True
Part 42,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,89.0,9.88888888888889,0.0,CatBoost,6.540354222047922,part_42,True
Part 43,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,69.0,7.666666666666667,4.0,CatBoost,4.583544457991355,part_43,True
Part 44,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,59.0,6.555555555555555,3.0,CatBoost,5.733146303756251,part_44,True
