Model,Eligible_For_Ranking,N,Parts,MAE,RMSE,WAPE_pct,Forecast_Bias,R2,MAE_Rank,MAE_Improvement_vs_D3_Plan_pct
3-day Moving Average,True,976,111,30.264344086992693,62.40450078227612,30.124524317363942,4.291666797957704,0.8245123992818095,1.0,33.29870872345572
CatBoost,True,976,111,34.067898118650355,68.56280559605487,33.91050611791862,-5.259153336354523,0.7881679003148513,2.0,24.91584192077782
LightGBM,True,976,111,37.84699776938584,71.50408979872537,37.6721465155789,-21.899769946382257,0.7696032359195479,3.0,16.586871504560158
XGBoost,True,976,111,38.06729381761826,72.23264682538516,37.89142480698747,-21.9423362778931,0.7648842797744061,4.0,16.101348645119177
LSTM,True,976,111,55.54331294760169,113.49198432271496,55.28670559478981,-46.89915960402701,0.41957649897081,5.0,-22.41503350388234
D+3 Plan Reference,False,976,111,45.37295081967213,104.5210191426727,45.16333003579697,-34.63319672131148,0.5077090170432144,,0.0
