Scenario,CV_Overall_Winner,CV_Overall_MAE,CV_ML_Winner,CV_ML_MAE,Selected_Method_Final_Holdout_MAE,Selected_Method_Final_Holdout_RMSE,Selected_Method_Final_Holdout_WAPE_pct,Selected_Method_Final_Holdout_Bias,Selected_Method_Final_Holdout_R2
source_total,3-day Moving Average,36.952292504049886,XGBoost,48.38957765429307,31.864746922441803,66.81441537025734,32.58991519243043,4.959860486587929,0.7824382381915238
slot_sum,3-day Moving Average,37.24204881038734,XGBoost,49.9883076821972,32.21291446170882,67.14105444104155,33.01982564601658,5.0410123190486615,0.7801754649112045
